judul,artis,lirik
Seperti Yang Kau Minta,Chrisye,seperti yang kau minta maafkan aku tak bisamemahami maksud amarahmumembaca dan mengerti isi hatimuampuni aku yang telahmemasuki kehidupan kalianmencoba mencari celah dalam hatimuaku tau 'ku takkan bisamenjadi seperti yang engkau mintanamun selama nafas berhembus aku 'kan mencobamenjadi seperti yang kau mintaampuni aku yang telahmemasuki kehidupan kalianmencoba mencari celah dalam hatimuaku tau 'ku takkan bisamenjadi seperti yang engkau mintanamun selama nafas berhembus aku 'kan mencobaaku tau dia yang bisa menjadi seperti yang engkau mintanamun selama aku bernyawa aku 'kan mencobamenjadi seperti yang kau mintaaku tau 'ku takkan bisamenjadi seperti yang engkau mintanamun selama nafas berhembus aku 'kan mencobaaku tau dia yang bisa menjadi seperti yang engkau mintanamun selama aku bernyawa aku 'kan mencobamenjadi seperti yang kau mintaseperti yang kau mintaaku 'kan mencobamenjadi seperti yang kau minta
Kala Cinta Menggoda,Chrisye,kala cinta menggoda sejak jumpa kita pertama'kulangsung jatuh cintawalau kutahu kau ada pemiliknyatapi 'ku tak dapat membohongi hati nurani'ku tak dapat menghindari gejolak cinta inimaka ijinkanlah aku mencintaimuatau bolehkan aku sekedar sayang padamumaka ijinkanlah aku mencintaimuatau bolehkan aku sekedar sayang padamumemang serba salah rasanyatertusuk panah cintaapalagi aku juga ada pemiliknyatapi 'ku tak mampu membohongi hati nurani'ku tak mampu menghindari gejolak cinta inimaka maafkan jikaku mencintaimuatau biarkan kumengharap kau sayang padakumaka maafkan jikaku mencintaimuatau biarkan kumengharap kau sayang padakuahahahahtapi 'ku tak dapat membohongi hati nurani hati nurani'ku tak mampu menghindari gejolak cinta inimaka ijinkanlah aku mencintaimuatau bolehkan aku sekedar sayang padamumaka maafkan jikaku mencintaimuatau biarkan kumengharap kau sayang padakumaka ijinkanlah aku mencintaimuatau bolehkan aku sekedar sayang padamumaka maafkan jikaku mencintaimuatau biarkan kumengharap kau sayang padakula lalalalalalalala lalalalala lalalalalalalala lalalalala lalalalalalalala lalalalala lalalalalalalala lalalalala lalalalalalalala
Andai Aku Bisa,Chrisye,andai aku bisa andai aku bisamemutar kembaliwaktu yang telah berjalan'tuk kembali bersamadi dirimu selamanyabukan maksud akumembawa dirimumasuk terlalu jauhke dalam kisah cintayang tak mungkin terjadidan aku tak punya hatiuntuk menyakiti dirimudan aku tak punya hati 'tuk mencintaidirimu yang selalu mencintai dirikuwalau kau tahu diriku masih bersamanyadan aku tak punya hatiuntuk menyakiti dirimudan aku tak punya hati 'tuk mencintaidirimu yang selalu mencintai dirikuwalau kau tahu diriku masih bersamanyawalaupun kau tahu kau tahu dirikumasih bersamanya
Anak Sekolah,Chrisye,anak sekolah bukan aku tak tertarikdengan kata rayuanmusaat matamu melirikaku jadi suka padamutiap kali kau bermanjagemetar rasa di dadaingin kubisikkan cintatapi hati ini malu jadinyaengkau masih anak sekolah satu smabelum tepat waktu 'tuk begitu beginianak sekolah datang kembalidua atau tiga tahun lagibukan aku tak tertarikdengan kata rayuanmusaat matamu melirikaku jadi suka padamutiap kali kau bermanjagemetar rasa di dadaingin kubisikkan cintatapi hati ini malu jadinyaengkau masih anak sekolah satu smabelum tepat waktu 'tuk begitu beginianak sekolah datang kembalidua atau tiga tahun lagiingin kubisikkan cintatapi hati ini malu jadinyaengkau masih anak sekolah satu smabelum tepat waktu 'tuk begitu beginianak sekolah datang kembalidua atau tiga tahun lagiengkau masih anak sekolah satu smabelum tepat waktu 'tuk begitu beginianak sekolah datang kembalidua atau tiga tahun lagi
Aku Cinta Dia,Chrisye,aku cinta dia di saat kau berjalan di muka rumahkupenuh gayatersita pandanganku hingga 'ku terpesonasiapakah dirimuhatipun ingin tahusegeradimanakah rumahmu siapakah namamusebutkanlahkuingin berkenalan terimalah salamkugayamu dan wajahmuterbawa dalam mimpidiriku dimabuk asmarahati yang berbungapada pandangan pertamaoh tuhan tolonglahaku cinta aku cinta diadi saat kau berjalan di muka rumahkupenuh gayatersita pandanganku hingga 'ku terpesonagayamu dan wajahmuterbawa dalam mimpidiriku dimabuk asmarahati yang berbungapada pandangan pertamaoh tuhan tolonglahaku cinta 'ku cinta diahati yang berbungapada pandangan pertamaoh tuhan tolonglahaku cinta aku cinta diahati yang berbungapada pandangan pertamaoh tuhan tolonglahaku cinta 'ku cinta diahati yang berbungapada pandangan pertamaoh tuhan tolonglahaku cinta 'ku cinta diahati yang berbungapada pandangan pertamaoh tuhan tolonglahaku cinta 'ku cinta diahati yang berbungapada pandangan pertamaoh tuhan tolonglahaku cinta aku cinta dia
C.H.R.I.S.Y.E.,Diskoria,chrisye andai aku bisamenjadi seperti yang kau minta'ku jadi juwitakala cinta menggodatak peduli jikasurga dan neraka tak pernah adayang penting kau adameski tanpa panah asmaramengapa sabda alambelum jua satukan kisahkita bersamacintaku bertepukharap yang tak adarintihan nada asmaraingin 'ku kembali ke masa remajaserasa galih  ratnayang kumau kau untukku meskipun kau tak rinduengkau aku sukaaku ingin cintatebar semerbak percik pesonawahai angin malambantu aku merepih alammeskipun kidung ini terlalukuyakin badai pasti berlalulilinlilin kecil pun merayupijar hatimucintaku bertepukharap yang tak adarintihan nada asmaraingin 'ku kembali ke masa remajaserasa galih  ratnayang kumau kau untukku meskipun kau tak rinduengkau aku sukaternyata cinta di hadapan hatimuhanya kesenian laincintaku bertepukharap yang tak adarintihan nada asmaraingin 'ku kembali ke masa remajaserasa galih  ratnayang kumau kau untukku meskipun kau tak rinduengkau aku sukacintaku bertepukharap yang tak adarintihan nada asmarakau kehidupanku meski kau tak tahuada aku di hidupmuyang kumau kau untukku meskipun kau tak rinduengkau aku suka
Menunggumu,Chrisye,menunggumu di dalam sebuah cinta terdapat bahasayang mengalun indah mengisi jiwamerindukan kisah kita berduayang tak pernah bisa akan terlupabila rindu ini masih milikmukuhadirkan sebuah tanya untukmuharus berapa lama aku menunggumuaku menunggumudi dalam masa indah saat bersamamuyang tak pernah bisa akan terlupapandangan matanya menghancurkan jiwadengan segenap cinta aku bertanyabila rindu ini masih milikmukuhadirkan sebuah tanya untukmuharus berapa lama aku menunggumuaku menunggumudalam hati 'ku menunggudalam hati ku menungguakudalam lelah 'ku menunggudalam hati 'ku menungguaku masih menunggubila rindu ini masih milikmukuhadirkan sebuahharus berapa lamaharus berapa lamaaku menunggumuaku menunggumuaku menungguaku menunggumudalam hati ku menunggudalam lelah 'ku menunggudalam hati 'ku menunggudalam lelah 'ku menunggudalam hati 'ku menunggu
Merpati Putih,Chrisye,merpati putih lyricsmengering sudah bunga di pelukanmerpati putih berarak pulangterbang menerjang badaitinggi di awanmenghilang di langit yang hitams'lamat berpisah kenangan bercintasampai kapankah jadinyaaku harus menungguhari bahagia seperti dulubersama kasih kembali mesrabercumbu lagi kembali satujanji berjuta bintangdalam pelukansehangat pagi yang cerah
Pergilah Kasih,Chrisye,pergilah kasih lyricstito soemarsonotak pernah kusangka ini terjadikisah cinta yang suci inikau tinggalkan begitu sajasekian lamanya kita berduatak kusangka cepat berlalutuk mencari kesombiongan dirilupa segala yang pernah kau ucapkankau tinggalkan dakupergilah kasih kejarlah keinginanmuselagi masih ada waktuaku rela berpisah demi untuk dirimusemoga tercapai segala keinginanmu
Kala Sang Surya Tenggelam,Chrisye,kala sang surya tenggelam surya tenggelamditelan kabut kelamsenja nan muramdi hati remuk redamjalan berliku dalam kehidupandua remaja kehilanganpenawar rindu kasih pujaanmenempuh cobaanmalam mencekamrembulan sendu rawananak perawanmenanggung rindu dendamjalan berliku dalam kehidupandua remaja kehilanganpenawar rindu kasih pujaanmenempuh cobaansurya tenggelamditelan kabut kelamsenja nan muramdi hati remuk redamjalan berliku dalam kehidupandua remaja kehilanganpenawar rindu kasih pujaanmenempuh cobaanpenawar rindu kasih pujaanmenempuh cobaansurya tenggelam
