judul,artis,lirik
Surat Cinta Untuk Starla,Virgoun,"10 Contributors
Translations
English
Surat Cinta Untuk Starla Lyrics
[Lirik ""Surat Cinta Untuk Starla""]
[Verse 1]
'Ku tuliskan kenangan tentang
Caraku menemukan dirimu
Tentang apa yang membuatku mudah
Berikan hatiku padamu
'Takkan habis sejuta lagu
Untuk menceritakan cantikmu
'Kan teramat panjang puisi
'Tuk menyuratkan cinta ini
[Chorus]
Telah habis sudah cinta ini
'Tak lagi tersisa untuk dunia
Karena telah 'ku habiskan
Sisa cintaku hanya untukmu
[Verse 2]
Aku pernah berpikir tentang
Hidupku tanpa ada dirimu
Dapatkah lebih indah dari
Yang 'ku jalani sampai kini
Aku selalu bermimpi tentang
Indah hari tua bersamamu
Tetap cantik rambut panjangmu
Meskipun nanti 'tak hitam lagi

[Chorus]
Bila habis sudah waktu ini
Tak lagi berpijak pada dunia
Telah aku habiskan
Sisa hidupku hanya untukmu
Dan telah habis sudah cinta ini
'Tak lagi tersisa untuk dunia
Karena telah 'ku habiskan
Sisa cintaku hanya untukmu
[Post-Chorus]
Untukmu
Hidup dan matiku
[Bridge]
Bila musim berganti
Sampai waktu terhenti
Walau dunia membenci
'Ku 'kan tetap di sini
[Chorus]
Bila habis sudah waktu ini (Bila musim berganti)
Tak lagi berpijak pada dunia (Sampai waktu terhenti)
Telah aku habiskan (Walau dunia membenci)
Sisa hidupku hanya untukmu ('Ku 'kan tetap di sini)
Telah habis sudah cinta ini (Bila musim berganti)
Tak lagi tersisa untuk dunia (Sampai waktu terhenti)
Karena telah 'ku habiskan (Walau dunia membenci)
Sisa cintaku hanya untukmu ('Ku 'kan tetap di sini)

[Outro]
Karena telah 'ku habiskan
Sisa cintaku hanya untukmu"
Cinta Dalam Hati,Ungu,"4 Contributors
Cinta Dalam Hati Lyrics
[Lirik ""Cinta Dalam Hati""]
[Verse]
Mungkin ini memang jalan takdirku
Mengagumi tanpa dicintai
Tak mengapa bagiku asal kau pun bahagia
Dalam hidupmu, dalam hidupmu
Telah lama ku pendam perasaan itu
Menunggu hatimu menyambut diriku
Tak mengapa bagiku cintaimu pun adalah
Bahagia untukku, bahagia untukku
[Chorus]
Ku ingin kau tahu diriku di sini menanti dirimu
Meski ku tunggu hingga ujung waktuku
Dan berharap rasa ini 'kan abadi untuk selamanya
Dan izinkan aku memeluk dirimu kali ini saja
'Tuk ucapkan selamat tinggal untuk selamanya
Dan biarkan rasa ini bahagia untuk sekejap saja
[Instrumental Interlude]
[Chorus]
Ku ingin kau tahu diriku di sini menanti dirimu
Meski ku tunggu hingga ujung waktuku
Dan berharap rasa ini 'kan abadi untuk selamanya
Dan izinkan aku memeluk dirimu kali ini saja
'Tuk ucapkan selamat tinggal untuk selamanya
Dan biarkan rasa ini bahagia untuk sekejap saja

[Outro]
Wo-oh
Ah-ah-ah-ha-ah
Ah-ah-ah-ha-ah"
Siapkah Kau ’Tuk Jatuh Cinta Lagi,HIVI!,"11 Contributors
Siapkah Kau ’Tuk Jatuh Cinta Lagi Lyrics
[Verse 1: Neida]
Ketika ku mendengar bahwa
Kini kau tak lagi dengannya
Dalam benakku timbul tanya
Masihkah ada dia
Di hatimu bertahta
Atau ini saat bagiku untuk singgah di hatimu
[Refrain: Neida]
Namun siapkah kau 'tuk jatuh cinta lagi?
[Chorus: Neida]
Meski bibir ini tak berkata
Bukan berarti ku tak merasa
Ada yang berbeda di antara kita
Dan tak mungkin ku melewatkanmu
Hanya karena diriku tak mampu untuk bicara
Bahwa aku inginkan kau ada
Di hidupku
[Verse 2: Ilham]
Kini ku tak lagi dengannya
Sudah tak ada lagi rasa
Antara aku dengan dia
Siapkah kau bertahta
Di hatiku, adinda
Karena ini saat yang tepat
Untuk singgah di hatiku

[Refrain: Ilham]
Namun siapkah kau 'tuk jatuh cinta lagi?
[Chorus: Ilham]
Meski bibir ini tak berkata
Bukan berarti ku tak merasa
Ada yang berbeda di antara kita
Dan tak mungkin ku melewatkanmu
Hanya karena diriku tak mampu untuk bicara
Bahwa aku inginkan kau ada
Di hidupku
[Bridge: Neida, 
Neida & Ilham
]
Pikirlah saja dulu 
hingga tiada ragu
Agar mulus jalan ku
Melangkah menuju ke hati
Pikirlah saja dulu 
hingga tiada ragu
Agar mulus jalan ku
Melangkah menuju ke hatimu
[Refrain: Neida & Ilham]
Siapkah kau 'tuk jatuh cinta lagi?
[Chorus: Neida & Ilham, 
Neida
, 
Ilham
]
Meski bibir ini tak berkata
Bukan berarti ku tak merasa
Ada yang berbeda di antara kita
Dan tak mungkin ku melewatkanmu
Hanya karena diriku tak mampu untuk bicara
Bahwa aku inginkan kau ada
Meski bibir ini tak berkata
 (
Ooh-ooh
)
Bukan berarti ku tak merasa
Ada yang berbeda di antara kita
Dan tak mungkin ku melewatkanmu
Hanya karena diriku tak mampu untuk bicara
Bahwa aku inginkan kau ada
Di hidupku

[Post-Chorus: Neida & Ilham]
Bila kau jatuh cinta katakanlah
Jangan buang sia-sia
Bila kau jatuh cinta katakanlah
Jangan buang sia-sia
Bila kau jatuh cinta katakanlah
Jangan buang sia-sia
[Refrain: Neida & Ilham]
Siapkah kau 'tuk jatuh cinta lagi?"
Permata Cinta,Aiman Tino,"5 Contributors
Permata Cinta Lyrics
[Verse 1]
Lihat diri ini, tatap mata ini
Adakah aku pendusta cintamu?
Renungku di sini, di dalam hati ini
Adakah aku insan yang engkau cintai?
[Chorus]
Mana kau campakkan hatiku
Hati yang kuberikan padamu, kasih?
Semua jawapannya ada padamu
Ku di sini kan setia menunggumu, oh, kasihku
Meskipun maut mendatang menjemputku
[Verse 2]
Mengapa kau pergi dari diri ini?
Mengapa harus kau merelakan aku?
Mudahnya kau melepaskanku, oh, kasihku
Mudahnya kau mencari teman penggantiku
[Chorus]
Mana kau campakkan hatiku
Hati yang kuberikan padamu kasih?
Semua jawapannya ada padamu
Ku disini kan setia menunggumu, oh, kasihku
Meskipun maut mendatang menjemputku

[Instrumental Break]
[Chorus]
Manaku campakkan hatimu
Hati yang kau berikan padaku, kasih?
Semua jawapannya ada padamu
Ku disini kan setia menunggumu, oh, kasihku
Meskipun maut mendatang
Menjemputku"
Hip Hop/RNB,BILZY - Rasa Cinta Ini,"1 Contributor
Hip Hop/RNB Lyrics
Rasa Cinta Ini                     Cipt: Bilzy
Reff
Jika Kau sayang padaku , jika kau cinta padaku , berikan cinta mu sejujurnya untuku
Dan bila kau sayang pada ku , katakan cinta pada ku , tulus kan setia dirimu mencintai aku
Verse Raja
Katakan Sejujurnya Kalau kau Cinta Aku
Jangan kau pendam rasa itu, krna ku sdah tau
Tak perlu ungkapan kata krna hti yg mengungkp kan semua
Memang inilah cinta tak tahu kpan dtng nya
Besar dan tulus cinta ku hanyalah untuk mu
Ku ingin kau kembali wahai pujaan hti ku
Jngan kau pungkiri aku slalu ada untukmu
Ku kan berjanji merubah semua yang terjdi begitu
Rindu mengungkap saat aku lantunkan suara
Ku ingin kau dengar betpa besar nya cinta
Penantian ku tnggu kau datang padaku
Kata maaf yang ku lontrkan , krna ku salah padamu

Cinta memang  butuh proses , jika ingin jlani  sempurna
Sering terjadi salah faham , hingga Keluar amarah
Jika aku salah , maaf kan aku oh sayang
Rindu ku mengungkap syair nada , terbentang
Reff
Kembalilah Oh Sayangku.  cuman dirimu yang ku mau. harap  kembali kepadaku ohoho
Ku Rindu kamu , Cuman Seuntai Nada , Yang dapat ku nyanyikan , ketika ku merindukan mu
Verse bilzy
Oh sayang nama mu yang slalu terbayang
Tak bisa kulhat dkat , cman didalam kyang
Rasa ini menghantui ku kta ku ingat kamu
Ku mohon kembali temani didalam sunyi hti ku
Cuman serangkai kata nada yang dapat ku berikan
Ketika ku rindu pada mu cuman lagu ini nyanyikan
Harap kau kembali , di dalam benak ku
Oh tuhan tolong bukakan pintu hati nya untuk ku
Aku letih tertatih itu lah perjuangan arjuna
Mendpatkan kembali sosok anggun primadona
Seselip doa ku tuangkan , harap engkau kembali
Sejuta cinta kuberi , dpat kah kta menyatu lagi

Cinta sejati ,tak ada jika kau mencari
Butuh proses membangung semua ini
Menunggumu bukan hal yang membosan kan bagiku
Karna ksah cinta ku berjlan smpai tutup akhir buku
Reff
Jika Kau sayang padaku , jika kau cinta padaku , berikan cinta mu sejujurnya untuku
Dan bila kau sayang pada ku , katakan cinta pada ku , tulus kan setia dirimu mencintai aku
Reff
Kembalilah Oh Sayangku.  cuman dirimu yang ku mau. harap  kembali kepadaku ohoho
Ku Rindu kamu , Cuman Seuntai Nada , Yang dapat ku nyanyikan , ketika ku merindukan mu .."
Inikah Cinta,M.E (IDN),"3 Contributors
Inikah Cinta Lyrics
[Lirik ""Inikah Cinta""]
[Verse 1]
Saat kujumpa dirinya
Di suatu suasana
Terasa getaran dalam dada
Kucoba mendekatinya
Kutatap dirinya
Oh, dia sungguh mempesona
[Pre-Chorus]
Ingin daku menyapanya
Menyapa dirinya
Bercanda tawa dengan dirinya
Namun apa yang kurasa
Aku tak kuasa
Aku tak tau harus berkata apa
[Chorus]
Inikah namanya cinta
Oh, inikah cinta
Cinta pada jumpa pertama
Inikah rasanya cinta
Oh, inikah cinta
Terasa bahagia saat jumpa
Dengan dirinya
(Oh, inikah cinta di jumpa pertama)

[Verse 2]
Kujumpa dia berikutnya
Suasana berbeda
Getaran itu masih ada
Aku dekati dirinya
Kutatap wajahnya
Oh, dia tetap mempesona
[Pre-Chorus]
Ingin daku menyapanya
Menyapa dirinya
Bercanda tawa dengan dirinya
Namun apa yang kurasa
Aku tak kuasa
Aku tak tau harus berkata apa
[Chorus]
Inikah namanya cinta
Oh, inikah cinta
Cinta pada jumpa pertama
Inikah rasanya cinta
Oh, inikah cinta
Terasa bahagia saat jumpa
Dengan dirinya
[Bridge]
Rindu terasa
Di kala diri ini ingin jumpa
Ingin s'lalu bersama
Bersama dalam segala suasana
(Oh, oh, oh, oh)

[Chorus]
Inikah namanya cinta
Oh, inikah cinta
Cinta pada jumpa pertama
Inikah rasanya cinta
Oh, inikah cinta
Terasa bahagia saat jumpa dengan dirinya
Inikah namanya cinta
Oh, inikah cinta
Cinta pada jumpa pertama
Inikah rasanya cinta
Oh, inikah cinta
Terasa bahagia saat jumpa dengan dirinya
Inikah namanya cinta
Oh, inikah cinta
Cinta pada jumpa pertama
Inikah rasanya cinta
Oh, inikah cinta
Terasa bahagia saat jumpa dengan dirinya
[Outro]
(Oh, dengan dirinya)
(Dengan dirinya)
Dengan dirinya"
Sandiwara Cinta,Repvblik,"2 Contributors
Sandiwara Cinta Lyrics
Aku tahu ini semua tak adil
Aku tahu ini sudah terjadi
Mau bilang apa aku pun tak sanggup
Air mata pun tak lagi mau menetes
Alasannya seringkali ku dengar
Alasannya seringkali kau ucap
Kau dengannya seakan ku tak tahu
Sandiwara apa yang telah kau lakukan kepadaku
Jujurlah sayang aku tak mengapa
Biar semua jelas telah berbeda
Jika nanti aku yang harus pergi
Ku terima walau sakit hati
Mungkin ini jalan yang engkau mau
Mungkin ini jalan yang kau inginkan
Kau dengannya seakan ku tak tahu
Sandiwara apa, ceritanya apa, aku tahu
Jujurlah sayang aku tak mengapa
Biar semua jelas telah berbeda
Jika nanti aku yang harus pergi
Ku terima walau sakit hati
Jujurlah sayang aku tak mengapa
Biar semua jelas telah berbeda
Jika nanti aku yang harus pergi
Ku terima walau sakit hati
Ku terima walau sakit... hati"
Terima Kasih Cinta,Afgan,"2 Contributors
Terima Kasih Cinta Lyrics
[Verse 1]
Tersadar di dalam sepiku
Setelah jauh melangkah
Cahaya kasihmu menuntunku
Kembali dalam dekap tanganmu
[Chorus]
Terima kasih cinta untuk segalanya
Kau berikan lagi kesempatan itu
Tak akan terulang lagi
Semua...
Kesalahanku yang pernah menyakitimu
[Verse 2]
Tanpamu tiada berarti
Tak mampu lagi berdiri
Cahaya kasihmu menuntunku
Kembali dalam dekapan tanganmu
[Chorus]
Terima kasih cinta untuk segalanya
Kau berikan lagi kesempatan itu
Tak akan terulang lagi
Semua...
Kesalahanku yang pernah menyakitimu

[Bridge]
Uh whoa...
Uh whoa...
[Chorus]
Terima kasih cinta untuk segalanya
Kau berikan lagi kesempatan itu
Tak akan terulang lagi
Semua...
Kesalahanku, oh
Kesalahanku
Yang pernah menyakitimu"
Kala Cinta Menggoda,Chrisye,"4 Contributors
Kala Cinta Menggoda Lyrics
[Lirik ""Kala Cinta Menggoda""]
[Verse 1]
Sejak jumpa kita pertama
'kulangsung jatuh cinta
Walau kutahu kau ada pemiliknya
[Pre-Chorus]
Tapi 'ku tak dapat membohongi hati nurani
'Ku tak dapat menghindari gejolak cinta ini
[Chorus]
Maka ijinkanlah aku mencintaimu
Atau bolehkan aku sekedar sayang padamu
Maka ijinkanlah aku mencintaimu
Atau bolehkan aku sekedar sayang padamu
[Instrumental Break]
[Verse 2]
Memang serba salah rasanya
Tertusuk panah cinta
Apalagi aku juga ada pemiliknya
[Pre-Chorus]
Tapi 'ku tak mampu membohongi hati nurani
'Ku tak mampu menghindari gejolak cinta ini

[Chorus]
Maka maafkan jikaku mencintaimu
Atau biarkan kumengharap kau sayang padaku
Maka maafkan jikaku mencintaimu
Atau biarkan kumengharap kau sayang padaku
[Interlude]
[?]
Ah-ah-ah-ah
[Pre-Chorus]
Tapi 'ku tak dapat membohongi hati nurani (Hati nurani)
'Ku tak mampu menghindari gejolak cinta ini
[Chorus]
Maka ijinkanlah aku mencintaimu
Atau bolehkan aku sekedar sayang padamu
Maka maafkan jikaku mencintaimu
Atau biarkan kumengharap kau sayang padaku
Maka ijinkanlah aku mencintaimu
Atau bolehkan aku sekedar sayang padamu
Maka maafkan jikaku mencintaimu
Atau biarkan kumengharap kau sayang padaku
[Outro]
La, la-la-la-la
La-la-la-la, la-la-la-la
La, la-la-la-la
La-la-la-la, la-la-la-la
La, la-la-la-la
La-la-la-la, la-la-la-la
La, la-la-la-la
La-la-la-la, la-la-la-la
La, la-la-la-la
La-la-la-la"
Cinta Terakhir,Ari Lasso,"1 Contributor
Cinta Terakhir Lyrics
Sedalam samudra telah aku selami
Setinggi langit di angkasa telah ku arungi
Sepanjang kehidupanku aku mencari
Sebentuk kelembutan hati cinta sejati
Kini….usai sudah segala penantian panjangku
Setelah temukan dirimu duhai kekasihku
Hanya…di hatimu akan kulabuhkan hidupku
Karena kau..lah..cinta terakhirku
Berjuta kejora terangi gelap malamku
Tetap tak seindah cahaya mata hatimu
Kini….usai sudah segala penantian panjangku
Setelah temukan dirimu duhai kekasihku
Hanya…di hatimu ‘kan kulabuhkan hidupku
Karena kau..lah..cinta terakhirku"
